"X","NADK","CHDH","DGKA","SDHA","CETP","FH","OGDH","CHRNE","SLC6A4","ALDH2","LPCAT3","LDHB","GLS","ODC1","KYNU","MTR","PANK2","PRMT1","IMPA1","LDHA","GCSH","ADCYAP1","PGD","GALM","IPMK","DDAH1","CPT2","PANK4","SMPD1","TK2","MAT2A","KYAT1","CTPS1","MSRA","MTHFR","GLDC","TH","ACADSB","GFPT1","DDO","SDHD","HOGA1"
"ACH-000012",5.19455988602261,1.82374936030827,4.5341861390901,6.54287709935414,0.0840642647884745,6.49521546352043,5.24640808724638,0.22650852980868,0,4.5981269599196,4.79025073883523,10.503428246592,8.01508047561318,7.34456222703313,3.17312743348066,3.82680268428583,4.3547342399706,7.75328361646088,5.28243980500639,10.9623899614223,6.37920505996061,0,6.15299460549244,3.74523733212975,2.53605290024021,5.00854067170295,4.23572705983806,3.88947354253111,3.17312743348066,2.01077983875324,7.72328550477764,2.04264433740849,6.56102057782927,2.83995958748953,1.40599235967584,1.54101915313356,0.01435529297707,1.96347412397489,4.65477921695952,0.443606651475615,6.64472154721798,0.250961573533219
"ACH-000015",6.33806779754262,1.02147972741045,2.48284828306847,7.34482849699744,0.01435529297707,6.55964476258667,5.2098432305255,0.31034012061215,0.0565835283663675,4.70154905694307,4.97911075501579,9.59460453052552,4.0686708106651,7.05408873537293,0.575312330687437,4.12763327972587,4.21179097625254,7.84102962596249,4.71699089440494,8.93937352011443,6.34536088953964,0.01435529297707,7.23189316164533,3.86195536414487,1.85996954822103,2.27798474729977,4.01256867350306,4.58736499093646,3.39231742277876,4.38818953715608,7.19160212846187,2.7158933705476,5.61735726159132,2.43028527297778,3.90207357931074,4.58676474335514,0.0426443374084937,2.77820857639809,3.46205231879643,0,7.40786256740339,0.189033824390017
"ACH-000021",6.16450472565806,0.773996325111173,4.72955277045397,5.68004299262257,0.0976107966264223,4.63749432520631,4.8073549220576,0.545968369105293,0.01435529297707,0.963474123974886,3.17472598770613,9.82845387393048,6.26697389152185,7.9159988517389,0.286881147788161,2.56071495447448,4.1333991254172,7.26912667914942,4.87823487911234,9.01619542991025,6.18705508996806,0.0426443374084937,5.91121220155861,0.344828496997441,2.38404980679516,4.01703108052784,3.56924802986718,4.12763327972587,2.30451104180995,3.71259578044703,7.45063391836958,1.83592407425437,6.20730722344539,2.77610398807316,2.67581593117227,0.53605290024021,0.0285691521967709,2.01077983875324,4.63633460244218,0.01435529297707,7.5478970545091,0.0426443374084937
"ACH-000030",5.84949893172018,0.070389327891398,5.03165985430805,7.57576612729644,0,6.5470487505718,5.97888202809642,0.070389327891398,0.01435529297707,4.42693561964834,6.03584381599453,9.89504506079667,4.69655030107857,6.28410691122874,4.94251450533924,2.7311832415722,4.68985823631925,7.9619705333845,3.25701061820602,10.1036812170517,5.31795521831244,0,8.38762964355904,4.42894634476948,2.03913839390696,3.98093926608551,4.4666271200415,3.35895882583233,2.74416109557041,3.51349074558812,6.83453425539226,3.94485844580754,6.49633451341711,2.89336221076387,2.37016428054021,0.485426827170242,2.43562859405209,1.97085365434048,4.81249822533356,1.30451104180995,6.36089096777204,1.29865831556452
"ACH-000035",6.14261765544658,0.871843648509318,5.61028665708102,7.12732374386753,0.176322772640463,6.18447867118709,6.38456792317383,0.250961573533219,0.0285691521967709,2.47767732756531,4.96439863220318,8.9986468390058,7.84968657495916,5.76075320806299,0.790772037862,3.14730669878029,4.72900887033786,8.35297033824593,3.42894634476948,9.64302640153923,7.31360865703049,0.286881147788161,6.32535043318951,4.55826763405574,2.09423606984577,3.20945336562895,3.10601323762212,4.31614574229336,4.05831649559082,4.18903382439002,7.80199929328525,2.81147103052984,6.51206882625186,2.16671544496642,3.22342254993494,1.43829285157915,1.83592407425437,2.25096157353322,5.91552090075196,0.070389327891398,6.82107239061079,0.111031312388744
"ACH-000062",5.64299031296116,0.659924558402378,4.91312876781974,5.96809075204526,0.176322772640463,6.54859075054854,5.56711948795167,0.250961573533219,0.0285691521967709,5.84398384404833,5.34943605171382,9.70901486490327,5.24374523473398,6.76871365703049,7.83914078693792,3.03033607837096,4.5765221379205,7.7610857718691,4.2667865406949,10.2135903028813,4.92931759491176,0.0285691521967709,7.78620427191941,4.23112515787905,1.64616265715789,1.67355642399014,3.99729240763651,3.81455042346181,5.03342300153745,4.22265002245148,8.00910078936379,3.08406426478847,5.76871365703049,3.34908214639109,3.36876834909033,1.51096191927738,0.485426827170242,2.55826763405574,5.14812063112396,0.622930350920177,6.43295940727611,1.06350294230616
"ACH-000066",5.55642941544957,1.60407132366886,5.21334728173344,7.21994291395413,0.321928094887362,6.50175758573866,6.81698362325538,0.321928094887362,0.176322772640463,5.21529030565123,4.31686980506433,9.38392024862158,7.11259588801209,5.57531233068744,0.790772037862,3.90496571868403,5.21723071622067,6.99740532549677,2.89530262133331,9.55011185987139,4.73281187208294,0.0285691521967709,6.52872758153442,5.16671544496642,1.790772037862,4.60110220337641,4.06608919045777,4.0866139474095,5.83466065790173,4.41413553298445,8.28211542163439,2.51853513898218,5.7235585614721,2.53356334821451,3.27052894238072,1.50080205305716,0.189033824390017,1.86393845042397,5.66817586897014,0.321928094887362,6.66633053634962,0.516015147003665
"ACH-000086",5.13996056954546,0.01435529297707,2.52356195605701,5.3212065669699,0.0840642647884745,5.16188768237689,4.5478199565777,0.124328135002202,0.0285691521967709,0.150559676575381,3.60644222813161,10.2184421488562,6.0518071070133,7.611172380044,0.0840642647884745,1.83995958748953,4.6564963705535,7.46074256378964,5.10768786931437,9.46460700996924,6.35561538275796,0.22650852980868,5.41616416473313,1.6959938131099,2.50589092972996,3.40190347160796,2.52606881166759,3.22650852980868,3.02147972741045,2.64385618977472,6.5915597458278,2.39506279951758,5.73199778664374,2.3533232911629,2.03562390973072,0.6959938131099,0.01435529297707,1.83187724119167,3.63459326844576,1.32192809488736,7.24678809384436,0.111031312388744
"ACH-000092",6.09824268000358,0.505890929729957,3.65535182861255,6.64889680647525,0.604071323668861,6.65663937447301,6.13113671915845,0.454175893185802,0.0426443374084937,6.64284594962078,4.53791724903408,10.1858665453113,8.33556900555675,8.37616881059537,0.659924558402378,3.48026512205446,5.56407325573694,7.26040209302579,4.19692173382033,10.8254358485219,5.51916444980607,2.24184018356467,7.37729730642785,0.0976107966264223,2.6667565918848,3.33342373372519,3.32337006906127,3.98550043030489,5.34553831007001,3.83592407425437,7.39497708552647,2.41413553298445,5.29388543030237,3.10768786931437,3.0408924306469,0.31034012061215,0.176322772640463,2.10768786931437,5.77610398807316,1.51601514700366,6.99638874644762,1.76128527336162
"ACH-000153",5.61441538650813,0.622930350920177,6.30103884990315,6.88983855076605,0.070389327891398,6.53993424517179,4.7235585614721,0.367371065648529,0.124328135002202,5.69348695749933,4.36876834909033,9.91723779964606,7.32246900411355,8.43887500263395,1.95977015521147,3.92789645372882,5.43862553808838,7.75341734172778,5.54565954002547,10.5207168865426,5.78685769601721,1.21412480535285,6.33574763429973,4.78031009904338,2.10433665981474,5.46074256378964,2.32481060342048,4.08151006812092,5.08023127201926,4.14159627838382,8.45182927725244,3.0408924306469,5.28206907519813,2.7158933705476,2.63459326844576,1.13750352374994,0.298658315564515,3.23572705983806,6.13873256972024,0.773996325111173,7.60540543682512,0.516015147003665
