"X","GCLC","NADK","AASS","PRMT5","GSS","CDADC1","SMPD3","CPT1A","LDHB","ODC1","GALE","GOT2","ABCC4","PRMT1","DCTD","DMGDH","LDHA","SORD","GCSH","UCK2","SDHC","AASDHPPT","MAT1A","RPIA","CARNMT1","PANK4","NNMT","TK1","GLYCTK","MSRA","PIPOX","IDH2","PNP","DDO"
"ACH-000007",4.96809075204526,5.876516946565,0.0285691521967709,6.72437742160622,6.06134418828839,3.4235781709818,1.87578006306849,4.72683121703249,8.24488705912353,7.29333369530646,6.93899143877554,6.67454539384587,0.111031312388744,7.82190150738751,6.3328869169596,0.298658315564515,8.57886325635858,6.14649230697719,4.24564777363675,4.91934008244201,7.63720448190229,3.97544676564096,0.01435529297707,5.31686980506433,3.62760683812965,3.66902676550963,0.0426443374084937,6.34074028063018,4.63052196347164,3.18428029441938,0.263034405833794,7.94222124483597,6.36789520554199,0.137503523749935
"ACH-000013",4.19927972133662,5.82781902461732,0.604071323668861,5.56711948795167,5.37712374912949,2.98550043030489,0.422233000683048,3.78240856492737,10.1230867509811,7.47183776242229,3.61823865559546,5.61882595258744,2.35895882583233,8.12153351734003,6.0203688510632,1.33342373372519,8.93534187574829,5.04919510562227,5.01390884549064,5.0071955014042,6.71945727459875,3.8972404255748,2.58014548442338,4.61412086878925,1.93734439215023,4.23266075679027,0.773996325111173,7.74825995012392,2.03210084316702,0.0840642647884745,2.88362081628567,5.55949181320504,6.70445701932884,0.01435529297707
"ACH-000019",5.02945288578697,5.72601374886015,0.137503523749935,7.06748814148907,6.10580377191708,3.26002565596146,0.443606651475615,5.78004757606187,1.56071495447448,5.83541884047548,5.08236196955747,5.81531924577731,1.02856915219677,8.47321868174143,4.75862298244024,0.613531652917927,8.22501458261165,4.7273759385949,5.82119997805645,3.82781902461732,6.79597469420667,3.63575439127776,0.263034405833794,4.29719141656586,2.83794324189103,4.06436554026363,0.150559676575381,6.92837032301897,1.32192809488736,2.41953889151378,0.687060688339892,7.71856712361622,6.6055535954944,0.01435529297707
"ACH-000028",4.52418907844937,5.77267747042486,1.16349873228288,6.82705683650015,5.76871365703049,3.35049724708413,0.933572638261024,5.80271021929134,2.01792190799726,4.90592847817314,5.37747084284965,6.46205231879643,1.90689059560852,8.41810559707949,5.13010717865883,0.807354922057604,8.24312636898951,5.02192383855476,6.29664094468348,4.97452931248388,7.21519321658085,3.68369645430652,0.01435529297707,4.77505054148317,2.54349588342577,4.15704371014558,0.20163386116965,7.16932375323987,0.863938450423971,2.9126498648972,0.622930350920177,7.94468278230822,6.39163026151743,0
"ACH-000048",4.20711196120771,5.76208300356767,2.02147972741045,6.75808993420181,6.06307144984268,3.47897180503294,0.526068811667588,4.69265037003553,10.5546847723612,6.64371191305668,4.38750040648098,6.77267747042486,3.5909612413426,8.56761389372254,6.17192735435346,0.0840642647884745,8.37277801706204,5.65906827484323,6.48590979153593,6.19100984858729,7.39497708552647,4.79649392942584,0.0976107966264223,6.03979640762002,3.52356195605701,4.26528685756517,0.344828496997441,6.42693561964834,1.97085365434048,2.59931779369823,0.765534746362977,6.16892278185294,6.69125497865014,0.01435529297707
"ACH-000091",5.45680614923047,4.62643913669732,2.74200621086674,5.81070015418722,4.59514556799086,4.44625622988956,0.823749360308273,3.27351588970212,9.85466583086118,3.53106949272595,5.3526172989585,6.05853297020161,4.75702324650746,7.24298351610969,5.9047249283904,0.475084882948783,10.0620461377205,4.2637856138908,4.84899843040002,4.94392132655349,6.69083609791913,3.74416109557041,0.22650852980868,4.34766565630097,2.95233356636969,4.15461561132689,8.85832297281393,4.89190518821193,1.23266075679027,1.22032995487956,0.773996325111173,5.4666271200415,6.49649430685371,0.505890929729957
"ACH-000097",4.03650333373899,5.54287709935414,1.29865831556452,5.73308313184512,5.48123434952853,3.07553263116736,3.32624970083746,5.8877689486479,4.47961860846942,3.50589092972996,6.161686174584,5.91862475557459,0.356143810225275,7.56605403817109,5.39951292418296,1.88752527074159,8.31560245663795,6.55596949459953,6.04154964501142,5.56224242422107,8.00123928362232,4.89965902637744,0,3.98550043030489,3.53977919169849,3.64038956005495,1.36176835941915,6.55336050333533,2.01077983875324,2.79493566280354,0,7.73057203082246,6.94345253855882,0
"ACH-000117",5.24982454861618,5.56498780095989,0.443606651475615,6.48074981718447,4.24792751344359,3.20320115631661,0.748461233004036,5.29939120612683,2.83390207666916,6.11644793551166,5.47411151394241,6.80128801677891,2.78659636189081,7.98208090976374,4.82374936030827,0.333423733725192,8.16279411930629,5.76526952069059,4.91121220155861,4.84949893172018,7.70238050161552,4.25398926623079,0.475084882948783,3.63343121035563,3.44757919654888,4.27276973243651,0.298658315564515,7.65506555119503,1.790772037862,2.25701061820602,0.124328135002202,7.25058266478754,6.09465834265454,1.99276843076892
"ACH-000123",3.04439411935845,5.89093302170554,3.42894634476948,6.4749227003798,6.20652601587743,2.73768676140986,0.641546029087524,4.83693401132109,10.0202855008446,6.69237139970866,5.04701481951759,6.57334422759282,3.93828579188405,8.08486152476468,5.87725345387661,0.516015147003665,8.83743871485637,4.68818035858693,6.22997238511225,5.22110372536788,7.09191135749191,5.92291140625819,0.263034405833794,4.94485844580754,3.60644222813161,4.2349610948395,1.81147103052984,6.31632679205715,2.6667565918848,1.94485844580754,0.622930350920177,6.64241277290506,6.04483123344781,0.01435529297707
"ACH-000132",3.37712374912949,5.34978987024187,0.495695162624069,5.04395687279021,5.36211916672566,3.17312743348066,0.443606651475615,2.90881290773955,9.64333311800992,5.9898202201176,5.14934066928622,5.66817586897014,2.29572302453997,7.60917873814198,5.63255905211795,1.43295940727611,9.65293457860686,3.5033487351675,5.56985560833095,4.90496571868403,7.4966540825935,5.18388345903223,0.0565835283663675,3.94673086014031,3.17791779219584,3.5668151540109,5.67919857056692,7.21149898197779,1.38404980679516,2.93734439215023,0.545968369105293,4.77399632511117,4.40258575823259,0.963474123974886
