brain,lung,liver,bone,kidney,DepMap_ID
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000759
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000764
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000768
Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000783
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000796
NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000811
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000842
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000847
NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000849
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000856
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000879
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000880
NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000885
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000895
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000898
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000906
NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000909
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000911
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000913
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000919
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000926
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000927
NonMetastasis,Metastasis,NonMetastasis,Metastasis,Metastasis,ACH-000936
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000940
Metastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000941
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000943
Metastasis,NonMetastasis,Metastasis,Metastasis,Metastasis,ACH-000946
