brain,lung,liver,bone,kidney,DepMap_ID
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000787
NonMetastasis,Metastasis,Metastasis,Metastasis,NonMetastasis,ACH-000791
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000800
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000803
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000813
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,Metastasis,ACH-000826
Metastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000837
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000840
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000841
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000843
NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000845
NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000852
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,Metastasis,ACH-000853
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000858
Metastasis,Metastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000860
NonMetastasis,Metastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000866
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000868
Metastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000869
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000875
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000878
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000886
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000888
NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,ACH-000890
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000891
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000892
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000893
NonMetastasis,Metastasis,Metastasis,Metastasis,NonMetastasis,ACH-000900
Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000901
NonMetastasis,Metastasis,NonMetastasis,Metastasis,Metastasis,ACH-000916
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000924
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000925
Metastasis,Metastasis,Metastasis,Metastasis,NonMetastasis,ACH-000929
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000945
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-001075
